|         name |       pseudo z |  pseudo z_error | Epeak (meas) [keV] | Epeak_error (meas) [keV] | Luminosity [erg/s] | Luminosity_error [erg/s] |
| GRB100107074 | 0.599015930159 |  0.211275042619 |           127.8093 |                 70.96127 |  2.39925762623e+51 |        1.17085304044e+51 |
| GRB091223191 |  1.80102783008 |             0.0 |            472.271 |                      0.0 |  2.85388210083e+52 |                      0.0 |
| GRB091126333 | 0.674016672667 |  0.201534874911 |           173.5585 |                 81.55933 |  4.19184152666e+51 |        1.83928384113e+51 |
| GRB091019750 | 0.881018721987 |   0.25680649701 |           164.2713 |                 59.17525 |  5.05044625374e+51 |        2.09539147191e+51 |
| GRB091018957 | 0.990019801098 |  0.303619851531 |           340.3727 |                 153.3334 |  1.27235700195e+52 |        6.77994896595e+51 |
| GRB091012783 | 0.940019306093 |  0.132018865798 |           1049.711 |                 223.7932 |  4.70652609275e+52 |        1.14023086193e+52 |
| GRB090819607 |   1.0490203852 |  0.315738296843 |           342.2708 |                 159.5208 |  1.20992274056e+52 |        6.82664708646e+51 |
| GRB090802235 | 0.551015454955 | 0.0687686139253 |            301.263 |                 46.58572 |  8.46663100728e+51 |        1.16016774864e+51 |
| GRB090717111 |  1.67502658267 |  0.462967834353 |           722.2843 |                 280.2056 |  4.41747761676e+52 |        2.94358845257e+52 |
| GRB090621922 | 0.659016524165 |  0.211119961825 |           188.1228 |                 93.98742 |  4.45046027227e+51 |        2.05508170103e+51 |
| GRB090617208 | 0.634016276663 | 0.0921496359837 |           492.6412 |                  104.369 |  1.40896171317e+52 |        2.74218758359e+51 |
| GRB090429753 |  5.96206902439 |   1.03335838652 |            1852.24 |                  689.391 |  4.14329183127e+53 |        6.66815449919e+53 |
| GRB090412061 |  1.89502876069 |  0.914773545055 |           576.9313 |                 441.2123 |  3.73888189252e+52 |          5.194167342e+52 |
| GRB090331681 |  1.78702769148 |  0.609234287727 |           921.3348 |                 554.2334 |  6.20367074896e+52 |        6.29629262801e+52 |
| GRB090328713 |  1.27202259293 |  0.311813280044 |           1203.962 |                 525.4483 |  5.66380800682e+52 |        3.27783073756e+52 |
| GRB090308734 |  1.44802433534 |  0.398480918692 |           1035.198 |                 501.1376 |  5.27011069058e+52 |        3.70558393964e+52 |
| GRB090305052 |   1.0350202466 |  0.288662926593 |           443.8923 |                 197.5876 |  1.48902426562e+52 |        7.89749573056e+51 |
| GRB090228204 | 0.343013395734 | 0.0141456821677 |           854.3635 |                 49.34895 |  2.37010798629e+52 |        9.65230606011e+50 |
| GRB090227772 | 0.495014900549 | 0.0169111390836 |           2029.799 |                 92.37897 |  7.06552447249e+52 |        2.66511268964e+51 |
| GRB090219074 | 0.364013603636 |  0.157459607531 |           70.20864 |                 46.75648 |  1.12322550793e+51 |        5.31571602537e+50 |
| GRB090120627 |  5.48806433174 |   1.76102110991 |           2541.313 |                 1546.245 |   5.1914292235e+53 |        1.31589299402e+54 |
| GRB090108020 | 0.540015346053 | 0.0631904981137 |           145.8965 |                 15.63359 |  3.59412142408e+51 |        3.64192469102e+50 |
| GRB081230871 |  1.41802403834 |             0.0 |           246.7687 |                      0.0 |  1.12107131771e+52 |                      0.0 |
| GRB081229187 | 0.929019197192 |  0.344832744391 |           188.6971 |                 106.6297 |   5.2705783025e+51 |        3.35797886089e+51 |
| GRB081226509 | 0.957019474395 |  0.220706451368 |           284.8657 |                 88.83046 |  1.01606094098e+52 |        3.74891537774e+51 |
| GRB081223419 | 0.770017623076 |  0.117351637056 |            199.671 |                 37.60102 |  6.11349868904e+51 |        1.22335247592e+51 |
| GRB081216531 | 0.852018434884 | 0.0789717253713 |           1402.423 |                  198.606 |  6.10136639167e+52 |        9.24480740784e+51 |
| GRB081209981 | 0.746017385474 | 0.0978365551823 |           758.3737 |                 149.1564 |  2.69766732869e+52 |        5.28525779673e+51 |
| GRB081204517 | 0.985019751598 |  0.242097480249 |           363.4103 |                  116.025 |  1.40442613271e+52 |         5.4617168951e+51 |
| GRB081122614 |    1.051020405 |  0.334307088079 |           176.5214 |                 72.46069 |  6.41975346057e+51 |        3.35284517934e+51 |
| GRB081119184 |   1.0540204347 |  0.372964575283 |           57.25549 |                 14.17326 |  1.68371611221e+51 |        6.58954285306e+50 |
| GRB081107321 | 0.495014900549 | 0.0953351022932 |           58.49905 |                 13.02623 |  1.16322804698e+51 |         2.2118177605e+50 |
| GRB081105614 | 0.877018682387 |  0.187978317454 |           324.8822 |                 98.74878 |  1.04858602531e+52 |        3.53152494697e+51 |
| GRB081102365 |  1.61302596886 |  0.917844982852 |           463.6771 |                 450.1094 |  2.25064195435e+52 |        3.45208386557e+52 |
| GRB081101491 |  1.12902117721 |   0.38189498906 |            207.753 |                 90.30927 |  7.98975208311e+51 |        4.63802372821e+51 |
| GRB081024891 |  2.78003752228 |   1.34876467802 |           1495.904 |                 1432.638 |  1.13638396654e+53 |        2.50720144932e+53 |
| GRB081024245 |  1.39202378094 |  0.484655705152 |           596.1074 |                 312.9762 |  3.10221727848e+52 |        2.39750250135e+52 |
| GRB081012045 |   2.0200299982 |  0.923644102119 |           1182.131 |                 1020.841 |  5.83101504416e+52 |        9.14364149046e+52 |
| GRB080919790 |  1.38502371164 |  0.839587546254 |           161.9193 |                 107.4857 |   7.0778560273e+51 |        7.61419261077e+51 |
| GRB080831053 |  1.08902078121 |  0.361487763762 |           162.8083 |                 63.37424 |  5.63181890871e+51 |        2.93737452495e+51 |
| GRB080802386 |   1.0090199892 |  0.254602678124 |           370.6485 |                 123.8498 |   1.4587425143e+52 |        5.99715667849e+51 |
| GRB080725541 |  1.63502618666 |  0.719033441086 |           470.4988 |                 333.6057 |  2.71091712612e+52 |        3.11443410925e+52 |
