|          z_sim |      L_cut__BATSE |      L_cut__Fermi |      L_cut__Swift |       L_cut__CZTI |
|  17.7177259459 | 1.57139916916e+54 | 5.29715193754e+53 | 1.94071449812e+54 | 1.59503046785e+55 |
|   17.817826036 | 1.60661828747e+54 | 5.37597019498e+53 | 1.98226699267e+54 | 1.63077737411e+55 |
|  17.9179261261 | 1.64243692409e+54 | 5.45556543565e+53 | 2.02451612968e+54 | 1.66713295756e+55 |
|  18.0180262162 | 1.67886136555e+54 | 5.53594199949e+53 | 2.06747108304e+54 | 1.70410359647e+55 |
|  18.1181263063 | 1.71589788618e+54 | 5.61710422351e+53 | 2.11113958644e+54 | 1.74169564723e+55 |
|  18.2182263964 | 1.75355273578e+54 | 5.69905646127e+53 | 2.15553042116e+54 | 1.77991546767e+55 |
|  18.3183264865 | 1.79183215654e+54 | 5.78180307936e+53 | 2.20065216666e+54 |   1.818769378e+55 |
|  18.4184265766 | 1.83074238396e+54 |  5.8653484512e+53 | 2.24651345521e+54 | 1.85826370254e+55 |
|  18.5185266667 | 1.87028962172e+54 | 5.94969696803e+53 | 2.29312296918e+54 | 1.89840473419e+55 |
|  18.6186267568 | 1.91048006644e+54 | 6.03485302368e+53 | 2.34048944439e+54 |  1.9391987501e+55 |
|  18.7187268468 | 1.95131988016e+54 |  6.1208210297e+53 | 2.38862165604e+54 |  1.9806520033e+55 |
|  18.8188269369 | 1.99281521044e+54 | 6.20760540642e+53 | 2.43752843269e+54 | 2.02277072225e+55 |
|   18.918927027 | 2.03497217654e+54 | 6.29521058414e+53 | 2.48721865412e+54 | 2.06556110907e+55 |
|  19.0190271171 | 2.07779687326e+54 | 6.38364101727e+53 | 2.53770123889e+54 | 2.10902933848e+55 |
|  19.1191272072 | 2.12129536286e+54 | 6.47290113651e+53 | 2.58898515757e+54 |  2.1531815533e+55 |
|  19.2192272973 | 2.16547369827e+54 | 6.56299541782e+53 | 2.64107942248e+54 | 2.19802386565e+55 |
|  19.3193273874 |  2.2103378309e+54 | 6.65392834118e+53 |  2.6939930937e+54 | 2.24356235557e+55 |
|  19.4194274775 | 2.25589375829e+54 | 6.74570438589e+53 | 2.74773527098e+54 | 2.28980304408e+55 |
|  19.5195275676 | 2.30214747839e+54 | 6.83832804931e+53 | 2.80231510167e+54 | 2.33675202326e+55 |
|  19.6196276577 |  2.3491054455e+54 |  6.9318038538e+53 | 2.85774177354e+54 | 2.38441583527e+55 |
|  19.7197277477 | 2.39677468698e+54 | 7.02613629387e+53 | 2.91402451179e+54 | 2.43280161313e+55 |
|  19.8198278378 | 2.44516226366e+54 | 7.12132990849e+53 | 2.97117259799e+54 | 2.48191652378e+55 |
|  19.9199279279 | 2.49427526951e+54 | 7.21738923691e+53 | 3.02919532383e+54 | 2.53176776783e+55 |
|   20.020028018 | 2.54412083183e+54 | 7.31431882712e+53 | 3.08810205132e+54 | 2.58236257972e+55 |
